Iteration	Sim Time	Wall Time	Delta Time	Avg Press	Avg Temp	Avg KE	Particle Num	Avg Particle T
20	8.55060081036809034e-04	1.218	4.27854402476730180e-05	4.34158053616867718e+01	2.87647059242340333e+02	1.58940511461533681e-04	0	-nan
21	8.97845521284482031e-04	1.266	4.27883321340130865e-05	4.34120738880809398e+01	2.87622758899673045e+02	1.69078000855025818e-04	0	-nan
22	9.40633853418495125e-04	1.314	4.27941400645800960e-05	4.34083497010389863e+01	2.87598535283788692e+02	1.79325101752894395e-04	0	-nan
23	9.83427993483075146e-04	1.367	4.28024438406892461e-05	4.34046324200714864e+01	2.87574386128596302e+02	1.89551831710596270e-04	0	-nan
24	1.02623043732376438e-03	1.418	4.28096570257358968e-05	4.34009219154530612e+01	2.87550308843695746e+02	1.99679976899232837e-04	0	-nan
25	1.06904009434950027e-03	1.475	4.28151037516535588e-05	4.33972185373710602e+01	2.87526302420355705e+02	2.09695976513154901e-04	0	-nan
26	1.11185519810115389e-03	1.524	4.28197449089203996e-05	4.33935227946206368e+01	2.87502365972168604e+02	2.19628191142098682e-04	0	-nan
27	1.15467494301007439e-03	1.573	4.28258281065716211e-05	4.33898351297829947e+01	2.87478498051240990e+02	2.29511429197369978e-04	0	-nan
28	1.19750077111664601e-03	1.630	4.28341897777492645e-05	4.33861557202133241e+01	2.87454696182668386e+02	2.39366047693803142e-04	0	-nan
29	1.24033496089439536e-03	1.682	4.28398947833264133e-05	4.33824845222145754e+01	2.87430957869682516e+02	2.49200643761664893e-04	0	-nan
30	1.28317485567772181e-03	1.738	4.28435237449476694e-05	4.33788217167825962e+01	2.87407283906390546e+02	2.59025947161510052e-04	0	-nan
31	1.32601837942266949e-03	1.793	4.28482461041071932e-05	4.33751672333077494e+01	2.87383675300922732e+02	2.68862760598505106e-04	0	-nan
32	1.36886662552677669e-03	1.853	4.28540642982714598e-05	4.33715205780720581e+01	2.87360131725443580e+02	2.78729205468181227e-04	0	-nan
33	1.41172068982504820e-03	1.906	4.28607741721417438e-05	4.33678811894305056e+01	2.87336653043862384e+02	2.88613398324872174e-04	0	-nan
34	1.45458146399718999e-03	1.960	4.28680200739011834e-05	4.33642485500774910e+01	2.87313239164372703e+02	2.98452600343762869e-04	0	-nan
35	1.49744948407109124e-03	2.013	4.28753731799016045e-05	4.33606222807739385e+01	2.87289889898963452e+02	3.08134662781828824e-04	0	-nan
36	1.54032485725099288e-03	2.065	4.28807049506344908e-05	4.33570021963019627e+01	2.87266604866490127e+02	3.17523857257780932e-04	0	-nan
37	1.58320556220162734e-03	2.120	4.28879460710091629e-05	4.33533884609304607e+01	2.87243384379440727e+02	3.26497918809947750e-04	0	-nan
38	1.62609350827263655e-03	2.164	4.28944162670740124e-05	4.33497810555459466e+01	2.87220226227518197e+02	3.34980460208917654e-04	0	-nan
39	1.66898792453971066e-03	2.209	4.28991749397009806e-05	4.33461802862552190e+01	2.87197129402893893e+02	3.42953640995280788e-04	0	-nan
40	1.71188709947941173e-03	2.249	4.29032450731587465e-05	4.33425865702051283e+01	2.87174093333419705e+02	3.50456876760269279e-04	0	-nan
41	1.75479034455257050e-03	2.292	4.29068890041666811e-05	4.33390001985425428e+01	2.87151117027278360e+02	3.57578198238943704e-04	0	-nan
42	1.79769723355673711e-03	2.338	4.29104287427325135e-05	4.33354213365299472e+01	2.87128199665921954e+02	3.64444465277570875e-04	0	-nan
43	1.84060766229946957e-03	2.395	4.29141797176253872e-05	4.33318499778768853e+01	2.87105340692345749e+02	3.71210068606404972e-04	0	-nan
44	1.88352184201709492e-03	2.456	4.29183905070899059e-05	4.33282859402805727e+01	2.87082539841929929e+02	3.78037532896270635e-04	0	-nan
45	1.92644023252418477e-03	2.514	4.29231997086965087e-05	4.33247289062030347e+01	2.87059797103452524e+02	3.85066553776977931e-04	0	-nan
46	1.96936343223288145e-03	2.570	4.29286171148417036e-05	4.33211785012010893e+01	2.87037112623597068e+02	3.92377887361328366e-04	0	-nan
47	2.01229204934772312e-03	2.631	4.29345313012728669e-05	4.33176343924558154e+01	2.87014486591598882e+02	3.99967651177907590e-04	0	-nan
48	2.05522658064899617e-03	2.688	4.29407406053095950e-05	4.33140963870279023e+01	2.86991919149875798e+02	4.07747890297708139e-04	0	-nan
49	2.09816732125430588e-03	2.744	4.29470001987014482e-05	4.33105645142135529e+01	2.86969410367764112e+02	4.15578565840342840e-04	0	-nan
50	2.14111432145300739e-03	2.790	4.29530752739499830e-05	4.33070390867043855e+01	2.86946960295056613e+02	4.23320178412245080e-04	0	-nan
51	2.18406739672695731e-03	2.850	4.29587896869967675e-05	4.33035207463299372e+01	2.86924569091681633e+02	4.30884810985227517e-04	0	-nan
52	2.22702618641395416e-03	2.894	4.29640607906781594e-05	4.33000105078520789e+01	2.86902237219527933e+02	4.38263566713716741e-04	0	-nan
53	2.26999024720463214e-03	2.936	4.29689143228252486e-05	4.32965098171280403e+01	2.86879965684691911e+02	4.45520030046371238e-04	0	-nan
54	2.31295916152745749e-03	2.980	4.29734774130991964e-05	4.32930206391938839e+01	2.86857756328135224e+02	4.52755616885608023e-04	0	-nan
55	2.35593263894055653e-03	3.030	4.29779521666250649e-05	4.32895455897149048e+01	2.86835612171348146e+02	4.60064697366696174e-04	0	-nan
56	2.39891059110718162e-03	3.082	4.29825759722582328e-05	4.32860881212155135e+01	2.86813537824940852e+02	4.67499758567184291e-04	0	-nan
57	2.44189316707943979e-03	3.134	4.29875769507407705e-05	4.32826527733101116e+01	2.86791539961640183e+02	4.75059954187376579e-04	0	-nan
58	2.48488074403018042e-03	3.182	4.29931334184281201e-05	4.32792454924979637e+01	2.86769627845235732e+02	4.82704826792135168e-04	0	-nan
59	2.52787387744860849e-03	3.242	4.29993449084790555e-05	4.32758740207601136e+01	2.86747813898836057e+02	4.90384453204587532e-04	0	-nan
60	2.57087322235708760e-03	3.289	4.30062195394744374e-05	4.32725483429412776e+01	2.86726114292044997e+02	4.98071696458190268e-04	0	-nan
61	2.61387944189656225e-03	3.330	4.30136789822424087e-05	4.32692811714875631e+01	2.86704549526329117e+02	5.05782944234641407e-04	0	-nan
62	2.65689312087880481e-03	3.380	4.30215786908715015e-05	4.32660884349707899e+01	2.86683144997640738e+02	5.13579752895215475e-04	0	-nan
63	2.69991469956967637e-03	3.428	4.30297381407685847e-05	4.32629897256727176e+01	2.86661931511693410e+02	5.21552766988420038e-04	0	-nan
64	2.74294443771044491e-03	3.468	4.30379741032118853e-05	4.32600086531254604e+01	2.86640945717619502e+02	5.29797729306652324e-04	0	-nan
65	2.78598241181365674e-03	3.511	4.30461297778983896e-05	4.32571730465671465e+01	2.86620230409029716e+02	5.38397654433723496e-04	0	-nan
66	2.82902854159155495e-03	3.557	4.30540938944344348e-05	4.32545149508587699e+01	2.86599834619022204e+02	5.47422741086636276e-04	0	-nan
67	2.87208263548598955e-03	3.602	4.30618063701898997e-05	4.32520703674404530e+01	2.86579813412205397e+02	5.56950584665110229e-04	0	-nan
68	2.91514444185617940e-03	3.648	4.30692502248049982e-05	4.32498787029499994e+01	2.86560227260890088e+02	5.67097561788193244e-04	0	-nan
69	2.95821369208098444e-03	3.710	4.30764325268955309e-05	4.32479819009977717e+01	2.86541140894588125e+02	5.78044052914707227e-04	0	-nan
70	3.00129012460787978e-03	3.763	4.30833595362117706e-05	4.32464232457272360e+01	2.86522621539377838e+02	5.90036645924640109e-04	0	-nan
71	3.04437348414409153e-03	3.813	4.30900124194997031e-05	4.32452458395916537e+01	2.86504736516834612e+02	6.03360351588274712e-04	0	-nan
72	3.08746349656359139e-03	3.861	4.30963297377639373e-05	4.32444907748822231e+01	2.86487550242846623e+02	6.18288202299994939e-04	0	-nan
73	3.13055982630135524e-03	3.909	4.31022013992415036e-05	4.32441950424486663e+01	2.86471120741396760e+02	6.35026230608543886e-04	0	-nan
74	3.17366202770059686e-03	3.964	4.31071653177241359e-05	4.32443892536016250e+01	2.86455495855060633e+02	6.53672426092212619e-04	0	-nan
75	3.21676919301832091e-03	4.015	4.31049319583336858e-05	4.32450952833987969e+01	2.86440709490054587e+02	6.74198632818438586e-04	0	-nan
76	3.25987412497665474e-03	4.069	4.31035312050151665e-05	4.32463237843557806e+01	2.86426779749659033e+02	6.96448704758886243e-04	0	-nan
77	3.30297765618167011e-03	4.122	4.31030502021522401e-05	4.32480724901434357e+01	2.86413700985699847e+02	7.20155040376024890e-04	0	-nan
78	3.34608070638382250e-03	4.171	4.31034967442524115e-05	4.32503247296932258e+01	2.86401444487642834e+02	7.44944767922795436e-04	0	-nan
79	3.38918420312807507e-03	4.225	4.31047980049114652e-05	4.32530485756627243e+01	2.86389957347962422e+02	7.70352114835271906e-04	0	-nan
80	3.43228900113298633e-03	4.290	4.31068086994617022e-05	4.32561968024784562e+01	2.86379162683934567e+02	7.95846679487268219e-04	0	-nan
81	3.47539580983244811e-03	4.321	4.31093278870044028e-05	4.32597077813242095e+01	2.86368961390777713e+02	8.20890054398656921e-04	0	-nan
82	3.51850513771945249e-03	4.369	4.31121225843079760e-05	4.32635073854758758e+01	2.86359235485744080e+02	8.45019965039355957e-04	0	-nan
83	3.56161726030376031e-03	4.428	4.31135817784973648e-05	4.32675119086005679e+01	2.86349852961104261e+02	8.67941707675074252e-04	0	-nan
84	3.60473084208225766e-03	4.487	4.31122535998835075e-05	4.32716317792153617e+01	2.86340674208821213e+02	8.89592615167869366e-04	0	-nan
85	3.64784309568214104e-03	4.542	4.31116109779473473e-05	4.32757761674101005e+01	2.86331559051753345e+02	9.10150007825671838e-04	0	-nan
86	3.69095470666008828e-03	4.596	4.31118604069582402e-05	4.32798585299305643e+01	2.86322373287228856e+02	9.29972107101107218e-04	0	-nan
87	3.73406656706704639e-03	4.653	4.31131060826675649e-05	4.32838014114031751e+01	2.86312996867987749e+02	9.49482090552284828e-04	0	-nan
88	3.77717967314971379e-03	4.711	4.31153474301776006e-05	4.32875411777864940e+01	2.86303330783035221e+02	9.69039337755844875e-04	0	-nan
89	3.82029502057989155e-03	4.764	4.31184914845270567e-05	4.32910319648412099e+01	2.86293302806171710e+02	9.88839825608206404e-04	0	-nan
90	3.86341351206441865e-03	4.823	4.31212904797916716e-05	4.32942484478156615e+01	2.86282871603023523e+02	1.00887690531778484e-03	0	-nan
91	3.90653480254421048e-03	4.869	4.31222034870433756e-05	4.32971870472706399e+01	2.86272029033838066e+02	1.02896982855266703e-03	0	-nan
92	3.94965700603125414e-03	4.923	4.31233839285115550e-05	4.32998655323817729e+01	2.86260799891463535e+02	1.04884557818774211e-03	0	-nan
93	3.99278038995976546e-03	4.971	4.31247474070859107e-05	4.33023210949711981e+01	2.86249238015801097e+02	1.06824546127030906e-03	0	-nan
94	4.03590513736685162e-03	5.018	4.31261959093197321e-05	4.33046063938654697e+01	2.86237421455724871e+02	1.08701848293396987e-03	0	-nan
95	4.07903133327617174e-03	5.066	4.31276241107789762e-05	4.33067844495949643e+01	2.86225445030813262e+02	1.10517800390148272e-03	0	-nan
96	4.12215895738695087e-03	5.111	4.31289251531834569e-05	4.33089226537758094e+01	2.86213411410155231e+02	1.12290459602424936e-03	0	-nan
97	4.16528788254013401e-03	5.159	4.31299962212749140e-05	4.33110864397120707e+01	2.86201421495666580e+02	1.14049326173989692e-03	0	-nan
98	4.20841787876140901e-03	5.208	4.31307443452655750e-05	4.33133332174089318e+01	2.86189565023184571e+02	1.15825908371381737e-03	0	-nan
99	4.25154862310667472e-03	5.252	4.31310926917140633e-05	4.33157071694483164e+01	2.86177912327856802e+02	1.17643034567702282e-03	0	-nan
100	4.29467971579838848e-03	5.294	4.31309872305494005e-05	4.33182354319022451e+01	2.86166508145459034e+02	1.19506683094767379e-03	0	-nan
