Iteration	Sim Time	Wall Time	Delta Time	Avg Press	Avg Temp	Avg KE	Particle Num	Avg Particle T
0	0.00000000000000000e+00	0.090	4.27775309535978409e-05	4.34922999999999860e+01	2.88149591838550919e+02	0.00000000000000000e+00	0	-nan
1	4.27775309535978409e-05	0.158	4.27811516221676978e-05	4.34883882521826166e+01	2.88123675595076520e+02	1.12421237418989292e-07	0	-nan
2	8.55586825757655319e-05	0.224	4.27796798996099787e-05	4.34844859145106710e+01	2.88097824781536701e+02	7.46129446464900095e-07	0	-nan
3	1.28338362475375511e-04	0.287	4.27738614722607740e-05	4.34805930428682501e+01	2.88072046321509674e+02	2.62941745453532882e-06	0	-nan
4	1.71112223947636271e-04	0.340	4.27648920602004604e-05	4.34767095635388543e+01	2.88046348299030171e+02	6.53484069056257355e-06	0	-nan
5	2.13877116007836731e-04	0.404	4.27542530163874953e-05	4.34728353473909692e+01	2.88020738294642740e+02	1.28803137344523023e-05	0	-nan
6	2.56631369024224213e-04	0.460	4.27435135800457403e-05	4.34689702601836103e+01	2.87995222019359574e+02	2.15199420760107566e-05	0	-nan
7	2.99374882604269981e-04	0.510	4.27341308323656740e-05	4.34651141751071677e+01	2.87969802560794619e+02	3.18095148817359541e-05	0	-nan
8	3.42109013436635648e-04	0.560	4.27272768231433463e-05	4.34612669652409807e+01	2.87944480296778181e+02	4.28817647926432895e-05	0	-nan
9	3.84836290259778994e-04	0.617	4.27237160097875769e-05	4.34574285072258562e+01	2.87919253312454032e+02	5.39692716158136261e-05	0	-nan
10	4.27560006269566578e-04	0.668	4.27237468419294295e-05	4.34535987146899316e+01	2.87894118065771352e+02	6.46158846075470483e-05	0	-nan
11	4.70283753111496014e-04	0.726	4.27272029514822523e-05	4.34497775911597870e+01	2.87869070088287401e+02	7.47048082396683437e-05	0	-nan
12	5.13010956062978293e-04	0.784	4.27333305795291903e-05	4.34459652691928113e+01	2.87844104622228883e+02	8.43409208240562152e-05	0	-nan
13	5.55744286642507524e-04	0.841	4.27415713077101950e-05	4.34421620168696805e+01	2.87819217289149947e+02	9.36910705033073291e-05	0	-nan
14	5.98485857950217760e-04	0.893	4.27509841999846490e-05	4.34383681231550156e+01	2.87794404301186603e+02	1.02879713749134030e-04	0	-nan
15	6.41236842150202436e-04	0.950	4.27539843917826897e-05	4.34345838077196831e+01	2.87769662999126581e+02	1.11975653199995677e-04	0	-nan
16	6.83990826541985126e-04	1.004	4.27565629282325674e-05	4.34308097012701495e+01	2.87744995912218542e+02	1.21036933936227573e-04	0	-nan
17	7.26747389470217713e-04	1.054	4.27621961432271094e-05	4.34270456019516189e+01	2.87720402965896881e+02	1.30156706053044947e-04	0	-nan
18	7.69509585613444816e-04	1.104	4.27703330636520625e-05	4.34232907445289840e+01	2.87695882832829227e+02	1.39458171968314580e-04	0	-nan
19	8.12279918677096912e-04	1.162	4.27801623597121280e-05	4.34195442653323056e+01	2.87671434944528471e+02	1.49043971606703963e-04	0	-nan
