LF,flow_x,flow_y,flow_z,parcel_size,dom_x,dom_y,dom_z,quads,rk_order,ftts,cost,rho
lf-2/lf59,128,32,16,10,32,16,16,86,4,2,16945.1213333333,0.9406215285
lf-2/lf60,128,32,16,10,32,16,16,50,4,2,16873.8273333333,0.9231376183
lf-2/lf61,128,32,16,10,32,16,8,86,4,2,16540.694,0.9428519565
lf-2/lf62,128,32,16,10,32,16,8,50,4,2,17574.446,0.928465528
lf-2/lf63,128,32,16,10,32,8,16,86,4,2,16707.6226666667,0.9266631795
lf-2/lf64,128,32,16,10,32,8,16,50,4,2,16746.8,0.9523386691
lf-2/lf65,128,32,16,10,32,8,8,86,4,2,16299.8146666667,0.939840233
lf-2/lf66,128,32,16,10,32,8,8,50,4,2,16680.1733333333,0.9432616562
lf-2/lf67,128,32,16,10,0,0,0,0,4,2,14816.4046666667,0.9494641165
lf-2/lf68,128,16,32,100,64,16,16,86,4,2,17500.268,0.9229018075
lf-2/lf69,128,16,32,100,64,16,16,50,4,2,19943.196,0.9227781262
lf-2/lf70,128,16,32,100,64,16,8,86,4,2,17013.9293333333,0.9202906767
lf-2/lf71,128,16,32,100,64,16,8,50,4,2,17142.0226666667,0.8749220052
lf-2/lf72,128,16,32,100,64,8,16,86,4,2,17027.358,0.9124584067
lf-2/lf73,128,16,32,100,64,8,16,50,4,2,17140.572,0.9405127035
lf-2/lf74,128,16,32,100,64,8,8,86,4,2,17143.5206666667,0.8969216733
lf-2/lf75,128,16,32,100,64,8,8,50,4,2,17499.4833333333,0.9158418887
lf-2/lf76,128,16,32,100,32,16,16,86,4,2,16651.0613333333,0.8609625153
lf-2/lf77,128,16,32,100,32,16,16,50,4,2,16737.8606666667,0.8926278486
lf-2/lf78,128,16,32,100,32,16,8,86,4,2,16520.244,0.9092425352
lf-2/lf79,128,16,32,100,32,16,8,50,4,2,16949.766,0.9094697277
lf-2/lf80,128,16,32,100,32,8,16,86,4,2,16776.008,0.8922427283
lf-2/lf81,128,16,32,100,32,8,16,50,4,2,16709.6486666667,0.9207106569
lf-2/lf82,128,16,32,100,32,8,8,86,4,2,15935.31,0.9166821139
lf-2/lf83,128,16,32,100,32,8,8,50,4,2,16426.5013333333,0.8939064026
lf-2/lf84,128,16,32,100,0,0,0,0,4,2,14074.39,0.855291655
lf-2/lf85,128,16,32,10,64,16,16,86,4,2,17320.254,0.9213672631
lf-2/lf86,128,16,32,10,64,16,16,50,4,2,18027.806,0.9404637684
lf-2/lf87,128,16,32,10,64,16,8,86,4,2,17160.8206666667,0.9363264327
lf-2/lf88,128,16,32,10,64,16,8,50,4,2,17421.5893333333,0.9339236989
lf-2/lf89,128,16,32,10,64,8,16,86,4,2,17008.4166666667,0.9309231566
lf-2/lf90,128,16,32,10,64,8,16,50,4,2,17717.206,0.9356378849
lf-2/lf91,128,16,32,10,64,8,8,86,4,2,17395.1526666667,0.9396017377
lf-2/lf92,128,16,32,10,64,8,8,50,4,2,17200.4033333333,0.9484155177
lf-2/lf93,128,16,32,10,32,16,16,86,4,2,16727.4613333333,0.9100871062
lf-2/lf94,128,16,32,10,32,16,16,50,4,2,16637.674,0.9421471991
lf-2/lf95,128,16,32,10,32,16,8,86,4,2,16555.6006666667,0.9416727869
lf-2/lf96,128,16,32,10,32,16,8,50,4,2,16586.4526666667,0.9301591946
lf-2/lf97,128,16,32,10,32,8,16,86,4,2,16581.42,0.9090608316
lf-2/lf98,128,16,32,10,32,8,16,50,4,2,17004.4646666667,0.9495185855
lf-2/lf99,128,16,32,10,32,8,8,86,4,2,16435.2966666667,0.9335675627
lf-2/lf100,128,16,32,10,32,8,8,50,4,2,16768.2226666667,0.9166971923
lf-2/lf101,128,16,32,10,0,0,0,0,4,2,14353.4113333333,0.9532309338
lf-2/lf102,128,16,16,100,64,16,16,86,4,2,17496.648,0.8495347111
lf-2/lf103,128,16,16,100,64,16,16,50,4,2,20507.298,0.8749261477
lf-2/lf104,128,16,16,100,64,16,8,86,4,2,16889.964,0.8963984236
lf-2/lf105,128,16,16,100,64,16,8,50,4,2,17062.4786666667,0.8918152282
lf-2/lf106,128,16,16,100,64,8,16,86,4,2,16952.042,0.8977585245
lf-2/lf107,128,16,16,100,64,8,16,50,4,2,17028.2346666667,0.8926797399
lf-2/lf108,128,16,16,100,64,8,8,86,4,2,17890.89,0.8541345726
lf-2/lf109,128,16,16,100,64,8,8,50,4,2,17536.2706666667,0.861368103
lf-2/lf110,128,16,16,100,32,16,16,86,4,2,16312.9666666667,0.8733901018
lf-2/lf111,128,16,16,100,32,16,16,50,4,2,16490.508,0.8890245832
lf-2/lf112,128,16,16,100,32,16,8,86,4,2,16295.0433333333,0.8862160674
lf-2/lf113,128,16,16,100,32,16,8,50,4,2,16356.974,0.8627001381
lf-2/lf114,128,16,16,100,32,8,16,86,4,2,16251.7273333333,0.8756631275
lf-2/lf115,128,16,16,100,32,8,16,50,4,2,16735.936,0.8680794838
lf-2/lf116,128,16,16,100,32,8,8,86,4,2,16016.9286666667,0.8852058162
lf-2/lf117,128,16,16,100,32,8,8,50,4,2,16318.69,0.929679413
lf-2/lf118,128,16,16,100,0,0,0,0,4,2,14399.5306666667,0.9195153399
lf-2/lf119,128,16,16,10,64,16,16,86,4,2,17497.688,0.9103998051
lf-2/lf120,128,16,16,10,64,16,16,50,4,2,18379.0286666667,0.8855611688
lf-2/lf121,128,16,16,10,64,16,8,86,4,2,17028.808,0.9003503268
lf-2/lf122,128,16,16,10,64,16,8,50,4,2,17287.9933333333,0.8772175182
lf-2/lf123,128,16,16,10,64,8,16,86,4,2,17067.842,0.8587700636
lf-2/lf124,128,16,16,10,64,8,16,50,4,2,17228.0886666667,0.895009609
lf-2/lf125,128,16,16,10,64,8,8,86,4,2,17549.928,0.8931219166
lf-2/lf126,128,16,16,10,64,8,8,50,4,2,17343.888,0.9186936999
lf-2/lf127,128,16,16,10,32,16,16,86,4,2,16594.4726666667,0.8778200655
lf-2/lf128,128,16,16,10,32,16,16,50,4,2,16699.4566666667,0.9033914764
lf-2/lf129,128,16,16,10,32,16,8,86,4,2,16917.888,0.8950207682
lf-2/lf130,128,16,16,10,32,16,8,50,4,2,17385.46,0.9238588907
lf-2/lf131,128,16,16,10,32,8,16,86,4,2,16653.6113333333,0.8652585344
lf-2/lf132,128,16,16,10,32,8,16,50,4,2,17007.3426666667,0.9069286353
lf-2/lf133,128,16,16,10,32,8,8,86,4,2,16157.5713333333,0.8785948591
lf-2/lf134,128,16,16,10,32,8,8,50,4,2,16520.272,0.8902791178
lf-2/lf135,128,16,16,10,0,0,0,0,4,2,14299.3993333333,0.8963261543
lf-2/lf136,64,32,32,100,64,16,16,86,4,2,9789.5306666667,0.8875890908
lf-2/lf137,64,32,32,100,64,16,16,50,4,2,13124.6726666667,0.8941196582
lf-2/lf138,64,32,32,100,64,16,8,86,4,2,9562.652,0.9041970199
lf-2/lf139,64,32,32,100,64,16,8,50,4,2,9527.8053333333,0.8589098267
lf-2/lf140,64,32,32,100,64,8,16,86,4,2,9542.7593333333,0.8622983566
lf-2/lf141,64,32,32,100,64,8,16,50,4,2,9574.23,0.8809708695
lf-2/lf142,64,32,32,100,64,8,8,86,4,2,9694.3993333333,0.874301796
lf-2/lf143,64,32,32,100,64,8,8,50,4,2,9623.132,0.9049631163
lf-2/lf144,64,32,32,100,32,16,16,86,4,2,9030.4666666667,0.8938846613
lf-2/lf145,64,32,32,100,32,16,16,50,4,2,9135.4093333333,0.8812162335
lf-2/lf146,64,32,32,100,32,16,8,86,4,2,8891.718,0.8683230901
lf-2/lf147,64,32,32,100,32,16,8,50,4,2,8884.9826666667,0.9069843472
lf-2/lf148,64,32,32,100,32,8,16,86,4,2,9052.7253333333,0.8975935339
lf-2/lf149,64,32,32,100,32,8,16,50,4,2,9415.3026666667,0.8528555102
lf-2/lf150,64,32,32,100,32,8,8,86,4,2,8724.5633333333,0.8617907699
lf-2/lf151,64,32,32,100,32,8,8,50,4,2,8833.4253333333,0.8742986608
lf-2/lf152,64,32,32,100,0,0,0,0,4,2,7148.894,0.8498505604
lf-2/lf153,64,32,32,10,64,16,16,86,4,2,9990.0013333333,0.9136674554
lf-2/lf154,64,32,32,10,64,16,16,50,4,2,10943.3446666667,0.9132595002
lf-2/lf155,64,32,32,10,64,16,8,86,4,2,9561.714,0.9025653391
lf-2/lf156,64,32,32,10,64,16,8,50,4,2,9963.9726666667,0.8840942392
lf-2/lf157,64,32,32,10,64,8,16,86,4,2,9491.3573333333,0.890005652
lf-2/lf158,64,32,32,10,64,8,16,50,4,2,9713.038,0.9438955279
lf-2/lf159,64,32,32,10,64,8,8,86,4,2,9872.2373333333,0.909303136
lf-2/lf160,64,32,32,10,64,8,8,50,4,2,9674.1406666667,0.8907445559
lf-2/lf161,64,32,32,10,32,16,16,86,4,2,9263.4906666667,0.9022440911
lf-2/lf162,64,32,32,10,32,16,16,50,4,2,9258.922,0.9067599279
lf-2/lf163,64,32,32,10,32,16,8,86,4,2,8930.2266666667,0.9162628688
lf-2/lf164,64,32,32,10,32,16,8,50,4,2,9275.4866666667,0.9354198367
lf-2/lf165,64,32,32,10,32,8,16,86,4,2,9158.692,0.915757486
lf-2/lf166,64,32,32,10,32,8,16,50,4,2,9349.684,0.8505892182
lf-2/lf167,64,32,32,10,32,8,8,86,4,2,8857.6713333333,0.9211374915
lf-2/lf168,64,32,32,10,32,8,8,50,4,2,8942.5406666667,0.9190823672
lf-2/lf169,64,32,32,10,0,0,0,0,4,2,7402.7406666667,0.8857961741
lf-2/lf170,64,32,16,100,64,16,16,86,4,2,9693.2773333333,0.9140251826
lf-2/lf171,64,32,16,100,64,16,16,50,4,2,13058.5646666667,0.9329915469
lf-2/lf172,64,32,16,100,64,16,8,86,4,2,9415.6593333333,0.9323090889
lf-2/lf173,64,32,16,100,64,16,8,50,4,2,9516.7246666667,0.9440675852
lf-2/lf174,64,32,16,100,64,8,16,86,4,2,9451.4966666667,0.9053283365
lf-2/lf175,64,32,16,100,64,8,16,50,4,2,9397.8593333333,0.9103723521
lf-2/lf176,64,32,16,100,64,8,8,86,4,2,9522.818,0.9177898061
lf-2/lf177,64,32,16,100,64,8,8,50,4,2,9565.24,0.884870761
lf-2/lf178,64,32,16,100,32,16,16,86,4,2,9154.5713333333,0.8932989863
lf-2/lf179,64,32,16,100,32,16,16,50,4,2,9130.5473333333,0.8730692445
lf-2/lf180,64,32,16,100,32,16,8,86,4,2,9010.6286666667,0.935719548
lf-2/lf181,64,32,16,100,32,16,8,50,4,2,8888.1546666667,0.915272141
lf-2/lf182,64,32,16,100,32,8,16,86,4,2,8835.7106666667,0.9224458435
lf-2/lf183,64,32,16,100,32,8,16,50,4,2,9900.124,0.8638133716
lf-2/lf184,64,32,16,100,32,8,8,86,4,2,8532.206,0.9198667923
lf-2/lf185,64,32,16,100,32,8,8,50,4,2,8624.6453333333,0.9319235815
lf-2/lf186,64,32,16,100,0,0,0,0,4,2,7003.0373333333,0.9292024699
lf-2/lf187,64,32,16,10,64,16,16,86,4,2,9691.5,0.9261858221
lf-2/lf188,64,32,16,10,64,16,16,50,4,2,10514.0893333333,0.9268058516
lf-2/lf189,64,32,16,10,64,16,8,86,4,2,9289.714,0.9287300164
lf-2/lf190,64,32,16,10,64,16,8,50,4,2,9679.1166666667,0.9188183997
lf-2/lf191,64,32,16,10,64,8,16,86,4,2,9433.5606666667,0.9153568448
lf-2/lf192,64,32,16,10,64,8,16,50,4,2,9760.2366666667,0.9292295409
lf-2/lf193,64,32,16,10,64,8,8,86,4,2,9667.862,0.9486075109
lf-2/lf194,64,32,16,10,64,8,8,50,4,2,9535.7586666667,0.8989950226
lf-2/lf195,64,32,16,10,32,16,16,86,4,2,9003.138,0.9329293689
lf-2/lf196,64,32,16,10,32,16,16,50,4,2,9084.5333333333,0.9211026189
lf-2/lf197,64,32,16,10,32,16,8,86,4,2,8981.428,0.9234930349
lf-2/lf198,64,32,16,10,32,16,8,50,4,2,9129.2486666667,0.9594307968
lf-2/lf199,64,32,16,10,32,8,16,86,4,2,8863.92,0.9176503856
lf-2/lf200,64,32,16,10,32,8,16,50,4,2,9375.082,0.9133741585
lf-2/lf201,64,32,16,10,32,8,8,86,4,2,8730.6046666667,0.9382890535
lf-2/lf202,64,32,16,10,32,8,8,50,4,2,9131.8873333333,0.9276532363
lf-2/lf203,64,32,16,10,0,0,0,0,4,2,7260.6486666667,0.9012181946
lf-2/lf204,64,16,32,100,64,16,16,86,4,2,9514.5526666667,0.9222723273
lf-2/lf205,64,16,32,100,64,16,16,50,4,2,12830.8093333333,0.9206334104
lf-2/lf206,64,16,32,100,64,16,8,86,4,2,9428.84,0.9313046945
lf-2/lf207,64,16,32,100,64,16,8,50,4,2,9424.0586666667,0.9395425677
lf-2/lf208,64,16,32,100,64,8,16,86,4,2,9428.006,0.929398299
lf-2/lf209,64,16,32,100,64,8,16,50,4,2,9421.5113333333,0.9110910295
lf-2/lf210,64,16,32,100,64,8,8,86,4,2,9549.65,0.9132436808
lf-2/lf211,64,16,32,100,64,8,8,50,4,2,9562.67,0.920613479
lf-2/lf212,64,16,32,100,32,16,16,86,4,2,8918.7833333333,0.910465035
lf-2/lf213,64,16,32,100,32,16,16,50,4,2,8899.8333333333,0.90167474
lf-2/lf214,64,16,32,100,32,16,8,86,4,2,8848.3306666667,0.9121428419
lf-2/lf215,64,16,32,100,32,16,8,50,4,2,8931.678,0.9292471307
lf-2/lf216,64,16,32,100,32,8,16,86,4,2,8786.7513333333,0.8981241444
lf-2/lf217,64,16,32,100,32,8,16,50,4,2,8946.2833333333,0.9314914975
lf-2/lf218,64,16,32,100,32,8,8,86,4,2,8614.9526666667,0.9156406261
lf-2/lf219,64,16,32,100,32,8,8,50,4,2,8927.788,0.9270305566
lf-2/lf220,64,16,32,100,0,0,0,0,4,2,7300.3306666667,0.9042657351
lf-2/lf221,64,16,32,10,64,16,16,86,4,2,9432.008,0.9306475743
lf-2/lf222,64,16,32,10,64,16,16,50,4,2,10507.01,0.9329304317
lf-2/lf223,64,16,32,10,64,16,8,86,4,2,9336.3386666667,0.9332613245
lf-2/lf224,64,16,32,10,64,16,8,50,4,2,9557.7266666667,0.9483457681
lf-2/lf225,64,16,32,10,64,8,16,86,4,2,9470.102,0.9116384861
lf-2/lf226,64,16,32,10,64,8,16,50,4,2,9779.636,0.9534998064
lf-2/lf227,64,16,32,10,64,8,8,86,4,2,9578.094,0.9149472646
lf-2/lf228,64,16,32,10,64,8,8,50,4,2,9651.7026666667,0.9221020827
lf-2/lf229,64,16,32,10,32,16,16,86,4,2,9004.4633333333,0.9221088629
lf-2/lf230,64,16,32,10,32,16,16,50,4,2,9150.854,0.936216724
lf-2/lf231,64,16,32,10,32,16,8,86,4,2,9144.2206666667,0.9073617357
lf-2/lf232,64,16,32,10,32,16,8,50,4,2,9062.962,0.9183775782
lf-2/lf233,64,16,32,10,32,8,16,86,4,2,9007.1886666667,0.9160638247
lf-2/lf234,64,16,32,10,32,8,16,50,4,2,9295.258,0.938078911
lf-2/lf235,64,16,32,10,32,8,8,86,4,2,8695.796,0.896514322
lf-2/lf236,64,16,32,10,32,8,8,50,4,2,8959.4306666667,0.9243541316
lf-2/lf237,64,16,32,10,0,0,0,0,4,2,7179.9046666667,0.9327118161
lf-2/lf238,64,16,16,100,64,16,16,86,4,2,9589.62,0.8267741012
lf-2/lf239,64,16,16,100,64,16,16,50,4,2,13772.6946666667,0.8572708237
lf-2/lf240,64,16,16,100,64,16,8,86,4,2,9454.954,0.776638183
lf-2/lf241,64,16,16,100,64,16,8,50,4,2,9502.3226666667,0.9127817998
lf-2/lf242,64,16,16,100,64,8,16,86,4,2,9235.2566666667,0.8913951868
lf-2/lf243,64,16,16,100,64,8,16,50,4,2,9588.2773333333,0.8493984179
lf-2/lf244,64,16,16,100,64,8,8,86,4,2,9362.5393333333,0.8093197608
lf-2/lf245,64,16,16,100,64,8,8,50,4,2,9523.35,0.8311940948
lf-2/lf246,64,16,16,100,32,16,16,86,4,2,8912.2513333333,0.7818007282
lf-2/lf247,64,16,16,100,32,16,16,50,4,2,9031.686,0.8580737435
lf-2/lf248,64,16,16,100,32,16,8,86,4,2,8738.4786666667,0.842484948
lf-2/lf249,64,16,16,100,32,16,8,50,4,2,8961.528,0.8418801791
lf-2/lf250,64,16,16,100,32,8,16,86,4,2,8705.4446666667,0.8783388027
lf-2/lf251,64,16,16,100,32,8,16,50,4,2,9101.31,0.7783056599
lf-2/lf252,64,16,16,100,32,8,8,86,4,2,8693.1353333333,0.8774776801
lf-2/lf253,64,16,16,100,32,8,8,50,4,2,8815.1326666667,0.8325926759
lf-2/lf254,64,16,16,100,0,0,0,0,4,2,6956.6386666667,0.8093268529
lf-2/lf255,64,16,16,10,64,16,16,86,4,2,9665.5366666667,0.8562800773
lf-2/lf256,64,16,16,10,64,16,16,50,4,2,11050.4946666667,0.8526261191
lf-2/lf257,64,16,16,10,64,16,8,86,4,2,9521.724,0.8702018501
lf-2/lf258,64,16,16,10,64,16,8,50,4,2,9834.936,0.8455425351
lf-2/lf259,64,16,16,10,64,8,16,86,4,2,9608.31,0.8805941455
lf-2/lf260,64,16,16,10,64,8,16,50,4,2,9573.0846666667,0.8235376374
lf-2/lf261,64,16,16,10,64,8,8,86,4,2,9771.5086666667,0.8555096943
lf-2/lf262,64,16,16,10,64,8,8,50,4,2,9669.3986666667,0.8244049824
lf-2/lf263,64,16,16,10,32,16,16,86,4,2,9263.656,0.8502374694
lf-2/lf264,64,16,16,10,32,16,16,50,4,2,9198.38,0.8623183655
lf-2/lf265,64,16,16,10,32,16,8,86,4,2,9009.266,0.8552813976
lf-2/lf266,64,16,16,10,32,16,8,50,4,2,9172.492,0.9003945568
lf-2/lf267,64,16,16,10,32,8,16,86,4,2,9056.2666666667,0.8433410384
lf-2/lf268,64,16,16,10,32,8,16,50,4,2,9051.1693333333,0.8592080007
lf-2/lf269,64,16,16,10,32,8,8,86,4,2,8823.216,0.7796669804
lf-2/lf270,64,16,16,10,32,8,8,50,4,2,9056.076,0.8845286569
lf-2/lf271,64,16,16,10,0,0,0,0,4,2,7314.2553333333,0.825868087
lf-4/lf0,128,32,32,100,64,16,16,86,3,3,22465.621,0.8677053819
lf-4/lf1,128,32,32,100,64,16,16,50,3,3,24369.19,0.8435344379
lf-4/lf2,128,32,32,100,64,16,8,86,3,3,21742.482,0.8358664743
lf-4/lf3,128,32,32,100,64,16,8,50,3,3,22086.514,0.8576666516
lf-4/lf4,128,32,32,100,64,8,16,86,3,3,22057.461,0.8372803151
lf-4/lf5,128,32,32,100,64,8,16,50,3,3,21959.238,0.8444826985
lf-4/lf6,128,32,32,100,64,8,8,86,3,3,21843.389,0.8105561271
lf-4/lf7,128,32,32,100,64,8,8,50,3,3,22010.294,0.807404391
lf-4/lf8,128,32,32,100,32,16,16,86,3,3,21823.267,0.8366298588
lf-4/lf9,128,32,32,100,32,16,16,50,3,3,21420.201,0.8032350912
lf-4/lf10,128,32,32,100,32,16,8,86,3,3,21135.753,0.839520111
lf-4/lf11,128,32,32,100,32,16,8,50,3,3,21509.158,0.8264435083
lf-4/lf12,128,32,32,100,32,8,16,86,3,3,21236.477,0.8422595874
lf-4/lf13,128,32,32,100,32,8,16,50,3,3,21474.62,0.8472475371
lf-4/lf14,128,32,32,100,32,8,8,86,3,3,21405.443,0.8304063538
lf-4/lf15,128,32,32,100,32,8,8,50,3,3,20852.025,0.8257723739
lf-4/lf16,128,32,32,100,0,0,0,0,3,3,20395.842,0.8518342508
lf-4/lf17,128,32,32,10,64,16,16,86,3,3,22675.668,0.8747402685
lf-4/lf18,128,32,32,10,64,16,16,50,3,3,22550.447,0.9018876073
lf-4/lf19,128,32,32,10,64,16,8,86,3,3,22293.359,0.8947796296
lf-4/lf20,128,32,32,10,64,16,8,50,3,3,22112.263,0.8816024962
lf-4/lf21,128,32,32,10,64,8,16,86,3,3,22118.341,0.8924653106
lf-4/lf22,128,32,32,10,64,8,16,50,3,3,22246.867,0.9124827475
lf-4/lf23,128,32,32,10,64,8,8,86,3,3,22065.79,0.9167304964
lf-4/lf24,128,32,32,10,64,8,8,50,3,3,21942.065,0.9215721
lf-4/lf25,128,32,32,10,32,16,16,86,3,3,21407.468,0.9391772294
lf-4/lf26,128,32,32,10,32,16,16,50,3,3,21804.285,0.9059404956
lf-4/lf27,128,32,32,10,32,16,8,86,3,3,21285.087,0.9015765968
lf-4/lf28,128,32,32,10,32,16,8,50,3,3,21499.203,0.879435126
lf-4/lf29,128,32,32,10,32,8,16,86,3,3,21794.686,0.9320430141
lf-4/lf30,128,32,32,10,32,8,16,50,3,3,21714.077,0.9027176286
lf-4/lf31,128,32,32,10,32,8,8,86,3,3,20465.181,0.8875928135
lf-4/lf32,128,32,32,10,32,8,8,50,3,3,20503.024,0.9134054175
lf-4/lf33,128,32,32,10,0,0,0,0,3,3,18790.139,0.919619588
lf-4/lf34,128,32,16,100,64,16,16,86,3,3,22397.897,0.8684224711
lf-4/lf35,128,32,16,100,64,16,16,50,3,3,24811.158,0.9318072905
lf-4/lf36,128,32,16,100,64,16,8,86,3,3,21443.231,0.8903212348
lf-4/lf37,128,32,16,100,64,16,8,50,3,3,21734.272,0.9130279902
lf-4/lf38,128,32,16,100,64,8,16,86,3,3,21804.27,0.9156917114
lf-4/lf39,128,32,16,100,64,8,16,50,3,3,19522.467,0.903461952
lf-4/lf40,128,32,16,100,64,8,8,86,3,3,19063.593,0.9266931211
lf-4/lf41,128,32,16,100,64,8,8,50,3,3,19343.477,0.914036335
lf-4/lf42,128,32,16,100,32,16,16,86,3,3,18829.114,0.8898754963
lf-4/lf43,128,32,16,100,32,16,16,50,3,3,18922.696,0.9093623777
lf-4/lf44,128,32,16,100,32,16,8,86,3,3,19388.254,0.8633983396
lf-4/lf45,128,32,16,100,32,16,8,50,3,3,18612.397,0.9027429685
lf-4/lf46,128,32,16,100,32,8,16,86,3,3,19891.134,0.8868914985
lf-4/lf47,128,32,16,100,32,8,16,50,3,3,19822.18,0.9172579405
lf-4/lf48,128,32,16,100,32,8,8,86,3,3,19484.03,0.904293303
lf-4/lf49,128,32,16,100,32,8,8,50,3,3,19004.389,0.9212734524
lf-4/lf50,128,32,16,100,0,0,0,0,3,3,17589.977,0.9291495123
lf-4/lf51,128,32,16,10,64,16,16,86,3,3,19366.756,0.9392816734
lf-4/lf52,128,32,16,10,64,16,16,50,3,3,19839.827,0.9509925205
lf-4/lf53,128,32,16,10,64,16,8,86,3,3,18150.027,0.9155502816
lf-4/lf54,128,32,16,10,64,16,8,50,3,3,19464.072,0.9283963272
lf-4/lf55,128,32,16,10,64,8,16,86,3,3,21648.757,0.9307777658
lf-4/lf56,128,32,16,10,64,8,16,50,3,3,21822.945,0.9289976073
lf-4/lf57,128,32,16,10,64,8,8,86,3,3,21548.182,0.9374333467
lf-4/lf58,128,32,16,10,64,8,8,50,3,3,21754.326,0.9471855057
lf-4/lf59,128,32,16,10,32,16,16,86,3,3,21425.471,0.9453818766
lf-4/lf60,128,32,16,10,32,16,16,50,3,3,21189.895,0.9472997711
lf-4/lf61,128,32,16,10,32,16,8,86,3,3,21138.02,0.9301876398
lf-4/lf62,128,32,16,10,32,16,8,50,3,3,21295.913,0.9481870698
lf-4/lf63,128,32,16,10,32,8,16,86,3,3,21243.846,0.9307439976
lf-4/lf64,128,32,16,10,32,8,16,50,3,3,21288.438,0.9432295438
lf-4/lf65,128,32,16,10,32,8,8,86,3,3,21125.014,0.9481921785
lf-4/lf66,128,32,16,10,32,8,8,50,3,3,21109.366,0.9290099738
lf-4/lf67,128,32,16,10,0,0,0,0,3,3,20292.059,0.9132919281
lf-4/lf68,128,16,32,100,64,16,16,86,3,3,22159.799,0.8776303811
lf-4/lf69,128,16,32,100,64,16,16,50,3,3,24505.203,0.9159192752
lf-4/lf70,128,16,32,100,64,16,8,86,3,3,21779.915,0.92209526
lf-4/lf71,128,16,32,100,64,16,8,50,3,3,21812.74,0.8853446788
lf-4/lf72,128,16,32,100,64,8,16,86,3,3,21821.157,0.9167763421
lf-4/lf73,128,16,32,100,64,8,16,50,3,3,21873.337,0.9131648355
lf-4/lf74,128,16,32,100,64,8,8,86,3,3,21359.605,0.9101802696
lf-4/lf75,128,16,32,100,64,8,8,50,3,3,21581.754,0.8995611313
lf-4/lf76,128,16,32,100,32,16,16,86,3,3,22005.477,0.8742136094
lf-4/lf77,128,16,32,100,32,16,16,50,3,3,21616.987,0.9100614675
lf-4/lf78,128,16,32,100,32,16,8,86,3,3,21137.632,0.8767871711
lf-4/lf79,128,16,32,100,32,16,8,50,3,3,21058.943,0.8989739711
lf-4/lf80,128,16,32,100,32,8,16,86,3,3,21731.051,0.8977250047
lf-4/lf81,128,16,32,100,32,8,16,50,3,3,21619.182,0.8892295797
lf-4/lf82,128,16,32,100,32,8,8,86,3,3,21369.821,0.9016508284
lf-4/lf83,128,16,32,100,32,8,8,50,3,3,21023.529,0.8975427786
lf-4/lf84,128,16,32,100,0,0,0,0,3,3,20018.565,0.9207560381
lf-4/lf85,128,16,32,10,64,16,16,86,3,3,22101.021,0.9343131664
lf-4/lf86,128,16,32,10,64,16,16,50,3,3,22403.746,0.9394201179
lf-4/lf87,128,16,32,10,64,16,8,86,3,3,22138.499,0.9148279051
lf-4/lf88,128,16,32,10,64,16,8,50,3,3,22027.101,0.9370290104
lf-4/lf89,128,16,32,10,64,8,16,86,3,3,21861.416,0.930889148
lf-4/lf90,128,16,32,10,64,8,16,50,3,3,21998.145,0.9369908477
lf-4/lf91,128,16,32,10,64,8,8,86,3,3,22180.772,0.9391806897
lf-4/lf92,128,16,32,10,64,8,8,50,3,3,21542.801,0.9233922437
lf-4/lf93,128,16,32,10,32,16,16,86,3,3,21659.634,0.9436877562
lf-4/lf94,128,16,32,10,32,16,16,50,3,3,21398.478,0.9388148898
lf-4/lf95,128,16,32,10,32,16,8,86,3,3,21409.06,0.9236019799
lf-4/lf96,128,16,32,10,32,16,8,50,3,3,21128.413,0.9399017343
lf-4/lf97,128,16,32,10,32,8,16,86,3,3,21729.96,0.931462131
lf-4/lf98,128,16,32,10,32,8,16,50,3,3,21483.81,0.9232409603
lf-4/lf99,128,16,32,10,32,8,8,86,3,3,21129.292,0.9332843646
lf-4/lf100,128,16,32,10,32,8,8,50,3,3,21426.075,0.9417898636
lf-4/lf101,128,16,32,10,0,0,0,0,3,3,19959.985,0.9122002739
lf-4/lf102,128,16,16,100,64,16,16,86,3,3,21893.798,0.9150791819
lf-4/lf103,128,16,16,100,64,16,16,50,3,3,25233.065,0.8871945568
lf-4/lf104,128,16,16,100,64,16,8,86,3,3,21624.574,0.89191353
lf-4/lf105,128,16,16,100,64,16,8,50,3,3,21943.475,0.9099946531
lf-4/lf106,128,16,16,100,64,8,16,86,3,3,22064.152,0.8832674907
lf-4/lf107,128,16,16,100,64,8,16,50,3,3,21932.53,0.8353928769
lf-4/lf108,128,16,16,100,64,8,8,86,3,3,21790.991,0.8733727509
lf-4/lf109,128,16,16,100,64,8,8,50,3,3,21375.65,0.8795075064
lf-4/lf110,128,16,16,100,32,16,16,86,3,3,21412.934,0.9268925782
lf-4/lf111,128,16,16,100,32,16,16,50,3,3,21463.352,0.9194463574
lf-4/lf112,128,16,16,100,32,16,8,86,3,3,20283.206,0.8717007561
lf-4/lf113,128,16,16,100,32,16,8,50,3,3,20195.81,0.8713908085
lf-4/lf114,128,16,16,100,32,8,16,86,3,3,19947.913,0.8719776354
lf-4/lf115,128,16,16,100,32,8,16,50,3,3,19990.418,0.905962529
lf-4/lf116,128,16,16,100,32,8,8,86,3,3,19908.712,0.9066901474
lf-4/lf117,128,16,16,100,32,8,8,50,3,3,19743.811,0.854936165
