Iteration	Sim Time	Wall Time	Delta Time	Avg Press	Avg Temp	Avg KE	Particle Num	Avg Particle T
20000	8.14215552168231181e-03	0.290	4.07107776084209398e-07	1.04039965564108337e+05	2.99999900703882531e+02	9.19517967254412510e-02	18166	2.99999915266458856e+02
20001	8.14256262945839589e-03	0.359	4.07107776084209398e-07	1.04039965564063052e+05	2.99999900703752303e+02	9.19518275189131762e-02	18166	2.99999915266458856e+02
20002	8.14296973723447996e-03	0.426	4.07107776084209398e-07	1.04039965564018057e+05	2.99999900703622927e+02	9.19518582821290675e-02	18166	2.99999915266458856e+02
20003	8.14337684501056404e-03	0.498	4.07107776084209398e-07	1.04039965563973077e+05	2.99999900703493495e+02	9.19518890176625192e-02	18166	2.99999915266458856e+02
20004	8.14378395278664811e-03	0.577	4.07107776084209398e-07	1.04039965563928097e+05	2.99999900703364176e+02	9.19519197255541099e-02	18166	2.99999915266458856e+02
20005	8.14419106056273219e-03	0.636	4.07107776084209398e-07	1.04039965563883132e+05	2.99999900703234914e+02	9.19519504058445847e-02	18166	2.99999915266458856e+02
20006	8.14459816833881627e-03	0.664	4.07107776084209398e-07	1.04039965563838166e+05	2.99999900703105595e+02	9.19519810585749525e-02	18166	2.99999915266458856e+02
20007	8.14500527611490034e-03	0.689	4.07107776084209398e-07	1.04039965563793245e+05	2.99999900702976277e+02	9.19520116837863749e-02	18166	2.99999915266458856e+02
20008	8.14541238389098442e-03	0.716	4.07107776084209398e-07	1.04039965563748294e+05	2.99999900702847071e+02	9.19520422815203048e-02	18166	2.99999915266458856e+02
20009	8.14581949166706849e-03	0.743	4.07107776084209398e-07	1.04039965563703387e+05	2.99999900702717866e+02	9.19520728518183200e-02	18166	2.99999915266458856e+02
20010	8.14622659944315257e-03	0.768	4.07107776084209398e-07	1.04039965563658479e+05	2.99999900702588661e+02	9.19521033947222344e-02	18166	2.99999915266458856e+02
