Iteration	Sim Time	Wall Time	Delta Time	Avg Press	Avg Temp	Avg KE	Particle Num	Avg Particle T
0	0.00000000000000000e+00	0.176	4.07107776084209398e-07	1.04039999999999985e+05	2.99999999999999943e+02	1.79999999999999992e-06	18166	3.00000000000000000e+02
1	4.07107776084209398e-07	1.836	4.07107776084209398e-07	1.04039999933462677e+05	2.99999999808139194e+02	1.68146885049331687e-04	18166	2.99999999975241167e+02
2	8.14215552168418796e-07	1.917	4.07107776084209398e-07	1.04039999900730356e+05	2.99999999713755415e+02	2.49985624895767767e-04	18166	2.99999999975241167e+02
3	1.22132332825262819e-06	1.988	4.07107776084209398e-07	1.04039999868028826e+05	2.99999999619460311e+02	3.31747437586128702e-04	18166	2.99999999975241167e+02
4	1.62843110433683759e-06	2.059	4.07107776084209398e-07	1.04039999835357099e+05	2.99999999525251155e+02	4.13434690192782388e-04	18166	2.99999999975241167e+02
5	2.03553888042104720e-06	2.130	4.07107776084209398e-07	1.04039999802714956e+05	2.99999999431127321e+02	4.95047965691376127e-04	18166	2.99999999975241167e+02
6	2.44264665650525681e-06	2.182	4.07107776084209398e-07	1.04039999770102324e+05	2.99999999337088525e+02	5.76587533953733700e-04	18166	2.99999999975241167e+02
7	2.84975443258946642e-06	2.205	4.07107776084209398e-07	1.04039999737519072e+05	2.99999999243134539e+02	6.58053574896584463e-04	18166	2.99999999975241167e+02
8	3.25686220867367603e-06	2.232	4.07107776084209398e-07	1.04039999704965201e+05	2.99999999149265307e+02	7.39446232036709773e-04	18166	2.99999999975241167e+02
9	3.66396998475788564e-06	2.256	4.07107776084209398e-07	1.04039999672440608e+05	2.99999999055480430e+02	8.20765630078544237e-04	18166	2.99999999975241167e+02
10	4.07107776084209525e-06	2.279	4.07107776084209398e-07	1.04039999639945294e+05	2.99999998961779966e+02	9.02011882232832776e-04	18166	2.99999999975241167e+02
